order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-10016,2022-01-02,2022,Q1,1,January,Asia Pacific,India,Electronics,Laptops,Consumer,5,2379.47,11897.35,9589.92,2307.43,19.39
ORD-16991,2022-01-03,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Consumer,4,114.52,458.08,303.55,154.53,33.73
ORD-13605,2022-01-03,2022,Q1,1,January,North America,United States,Clothing,Shirts,Consumer,10,129.84,1298.4,539.77,758.63,58.43
ORD-17008,2022-01-03,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Binders & Files,Corporate,6,29.95,179.7,107.7,72.0,40.07
ORD-15592,2022-01-03,2022,Q1,1,January,Asia Pacific,India,Electronics,Headphones,Home Office,4,89.27,357.08,277.04,80.04,22.42
ORD-19427,2022-01-03,2022,Q1,1,January,Europe,Italy,Office Supplies,Pens & Pencils,Consumer,2,30.7,61.4,35.68,25.72,41.89
ORD-15137,2022-01-03,2022,Q1,1,January,Europe,Germany,Office Supplies,Binders & Files,Home Office,4,32.04,128.16,64.52,63.64,49.66
ORD-16437,2022-01-04,2022,Q1,1,January,Latin America,Argentina,Clothing,Pants,Home Office,4,61.05,244.2,104.99,139.21,57.01
ORD-13298,2022-01-04,2022,Q1,1,January,North America,Mexico,Office Supplies,Printer Supplies,Corporate,4,40.06,160.24,88.8,71.44,44.58
ORD-17862,2022-01-04,2022,Q1,1,January,North America,Canada,Office Supplies,Printer Supplies,Home Office,1,29.82,29.82,16.83,12.99,43.56
ORD-16470,2022-01-04,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Consumer,9,502.64,4523.76,2949.57,1574.19,34.8
ORD-18244,2022-01-04,2022,Q1,1,January,Asia Pacific,Singapore,Clothing,Pants,Corporate,1,44.22,44.22,18.71,25.51,57.69
ORD-14349,2022-01-04,2022,Q1,1,January,Asia Pacific,Singapore,Clothing,Shirts,Home Office,7,34.37,240.59,102.31,138.28,57.48
ORD-14479,2022-01-04,2022,Q1,1,January,Asia Pacific,China,Clothing,Pants,Home Office,3,83.66,250.98,113.35,137.63,54.84
ORD-17161,2022-01-04,2022,Q1,1,January,Europe,United Kingdom,Electronics,Monitors,Consumer,2,671.5,1343.0,1051.33,291.67,21.72
ORD-15212,2022-01-05,2022,Q1,1,January,Europe,Germany,Furniture,Desks,Corporate,1,766.17,766.17,470.26,295.91,38.62
ORD-12838,2022-01-05,2022,Q1,1,January,North America,Mexico,Electronics,Smartphones,Corporate,6,966.99,5801.94,4565.96,1235.98,21.3
ORD-18321,2022-01-05,2022,Q1,1,January,Europe,Italy,Electronics,Tablets,Home Office,5,688.87,3444.35,2788.2,656.15,19.05
ORD-12038,2022-01-05,2022,Q1,1,January,North America,United States,Clothing,Accessories,Consumer,2,51.89,103.78,51.42,52.36,50.45
ORD-16025,2022-01-05,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Paper & Notebooks,Corporate,4,56.57,226.28,120.51,105.77,46.74
ORD-15132,2022-01-05,2022,Q1,1,January,Latin America,Brazil,Furniture,Bookcases,Consumer,8,487.53,3900.24,2420.06,1480.18,37.95
ORD-16490,2022-01-05,2022,Q1,1,January,North America,United States,Electronics,Laptops,Consumer,8,854.33,6834.64,5303.39,1531.25,22.4
ORD-17900,2022-01-05,2022,Q1,1,January,Europe,Germany,Clothing,Pants,Corporate,2,140.25,280.5,116.67,163.83,58.41
ORD-14544,2022-01-05,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Jackets,Home Office,8,277.95,2223.6,1080.24,1143.36,51.42
ORD-12379,2022-01-05,2022,Q1,1,January,North America,United States,Electronics,Monitors,Home Office,4,511.4,2045.6,1535.57,510.03,24.93
ORD-12556,2022-01-05,2022,Q1,1,January,Latin America,Brazil,Clothing,Shirts,Consumer,8,50.58,404.64,185.89,218.75,54.06
ORD-19024,2022-01-05,2022,Q1,1,January,Europe,France,Office Supplies,Binders & Files,Corporate,3,50.2,150.6,85.29,65.31,43.37
ORD-16909,2022-01-05,2022,Q1,1,January,North America,Canada,Clothing,Jackets,Corporate,2,254.66,509.32,212.3,297.02,58.32
ORD-18007,2022-01-06,2022,Q1,1,January,Europe,United Kingdom,Furniture,Office Chairs,Corporate,4,652.02,2608.08,1648.76,959.32,36.78
ORD-11759,2022-01-06,2022,Q1,1,January,Europe,Germany,Electronics,Headphones,Consumer,4,87.43,349.72,274.63,75.09,21.47
ORD-11799,2022-01-06,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Jackets,Home Office,2,283.73,567.46,263.22,304.24,53.61
ORD-13093,2022-01-06,2022,Q1,1,January,Europe,France,Office Supplies,Binders & Files,Consumer,3,19.64,58.92,29.95,28.97,49.17
ORD-18322,2022-01-06,2022,Q1,1,January,North America,Canada,Furniture,Office Chairs,Corporate,1,379.56,379.56,265.3,114.26,30.1
ORD-18308,2022-01-06,2022,Q1,1,January,Asia Pacific,Singapore,Office Supplies,Paper & Notebooks,Consumer,7,42.31,296.17,174.02,122.15,41.24
ORD-18781,2022-01-06,2022,Q1,1,January,Latin America,Chile,Clothing,Shirts,Home Office,7,143.44,1004.08,472.86,531.22,52.91
ORD-14549,2022-01-06,2022,Q1,1,January,Latin America,Argentina,Electronics,Monitors,Home Office,4,423.19,1692.76,1399.35,293.41,17.33
ORD-12912,2022-01-06,2022,Q1,1,January,North America,United States,Furniture,Office Chairs,Home Office,1,504.97,504.97,349.12,155.85,30.86
ORD-14348,2022-01-06,2022,Q1,1,January,Asia Pacific,India,Clothing,Pants,Consumer,10,66.05,660.5,307.0,353.5,53.52
ORD-17031,2022-01-07,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Laptops,Consumer,1,1652.16,1652.16,1266.93,385.23,23.32
ORD-11658,2022-01-07,2022,Q1,1,January,North America,United States,Office Supplies,Printer Supplies,Corporate,9,79.12,712.08,385.69,326.39,45.84
ORD-15892,2022-01-07,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Printer Supplies,Consumer,5,50.21,251.05,131.3,119.75,47.7
ORD-17705,2022-01-07,2022,Q1,1,January,Latin America,Colombia,Electronics,Tablets,Corporate,9,877.76,7899.84,6200.46,1699.38,21.51
ORD-15977,2022-01-07,2022,Q1,1,January,Europe,Germany,Electronics,Headphones,Home Office,5,285.05,1425.25,1131.99,293.26,20.58
ORD-18539,2022-01-07,2022,Q1,1,January,Latin America,Colombia,Furniture,Office Chairs,Home Office,3,544.07,1632.21,1004.15,628.06,38.48
ORD-16753,2022-01-08,2022,Q1,1,January,Europe,Italy,Furniture,Bookcases,Home Office,10,463.91,4639.1,2926.75,1712.35,36.91
ORD-12648,2022-01-08,2022,Q1,1,January,Europe,Italy,Office Supplies,Paper & Notebooks,Corporate,1,26.66,26.66,15.1,11.56,43.36
ORD-12685,2022-01-08,2022,Q1,1,January,Europe,Italy,Office Supplies,Printer Supplies,Corporate,5,110.52,552.6,325.7,226.9,41.06
ORD-12341,2022-01-08,2022,Q1,1,January,Europe,United Kingdom,Office Supplies,Printer Supplies,Corporate,6,119.48,716.88,376.05,340.83,47.54
ORD-13242,2022-01-08,2022,Q1,1,January,North America,Mexico,Clothing,Jackets,Corporate,5,175.22,876.1,432.2,443.9,50.67
ORD-14100,2022-01-08,2022,Q1,1,January,Asia Pacific,China,Furniture,Storage,Corporate,4,160.38,641.52,423.9,217.62,33.92
ORD-15713,2022-01-08,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Binders & Files,Home Office,4,36.61,146.44,75.58,70.86,48.39
ORD-12273,2022-01-08,2022,Q1,1,January,Latin America,Colombia,Clothing,Jackets,Corporate,10,258.93,2589.3,1074.4,1514.9,58.51
ORD-14837,2022-01-09,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Printer Supplies,Corporate,1,91.63,91.63,46.33,45.3,49.44
ORD-14858,2022-01-09,2022,Q1,1,January,Latin America,Brazil,Electronics,Laptops,Corporate,7,1052.7,7368.9,5812.15,1556.75,21.13
ORD-18547,2022-01-09,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Paper & Notebooks,Consumer,2,61.9,123.8,66.51,57.29,46.28
ORD-12790,2022-01-09,2022,Q1,1,January,Europe,Italy,Electronics,Tablets,Corporate,3,355.21,1065.63,794.92,270.71,25.4
ORD-13441,2022-01-09,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Binders & Files,Consumer,6,51.51,309.06,167.49,141.57,45.81
ORD-16303,2022-01-09,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Bookcases,Consumer,8,371.49,2971.92,1912.46,1059.46,35.65
ORD-13337,2022-01-09,2022,Q1,1,January,Latin America,Brazil,Furniture,Desks,Consumer,8,626.63,5013.04,3333.37,1679.67,33.51
ORD-14801,2022-01-10,2022,Q1,1,January,Latin America,Chile,Office Supplies,Binders & Files,Home Office,4,38.19,152.76,78.65,74.11,48.51
ORD-19588,2022-01-10,2022,Q1,1,January,North America,Mexico,Clothing,Shirts,Home Office,6,124.2,745.2,327.35,417.85,56.07
ORD-19035,2022-01-10,2022,Q1,1,January,Asia Pacific,Singapore,Furniture,Storage,Corporate,1,118.21,118.21,74.79,43.42,36.73
ORD-13479,2022-01-10,2022,Q1,1,January,Asia Pacific,China,Clothing,Shirts,Home Office,8,127.0,1016.0,477.4,538.6,53.01
ORD-14593,2022-01-10,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Accessories,Consumer,9,91.29,821.61,393.61,428.0,52.09
ORD-12954,2022-01-10,2022,Q1,1,January,Europe,Italy,Electronics,Laptops,Corporate,6,1516.91,9101.46,7045.35,2056.11,22.59
ORD-19301,2022-01-10,2022,Q1,1,January,Asia Pacific,Singapore,Office Supplies,Printer Supplies,Home Office,9,30.4,273.6,162.62,110.98,40.56
ORD-10406,2022-01-10,2022,Q1,1,January,Latin America,Colombia,Furniture,Desks,Consumer,3,776.28,2328.84,1516.17,812.67,34.9
ORD-14123,2022-01-10,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Pants,Consumer,6,180.61,1083.66,443.71,639.95,59.05
ORD-15647,2022-01-10,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Jackets,Home Office,1,381.14,381.14,175.46,205.68,53.96
ORD-19490,2022-01-11,2022,Q1,1,January,Europe,Italy,Clothing,Shirts,Consumer,10,118.81,1188.1,537.2,650.9,54.78
ORD-10854,2022-01-11,2022,Q1,1,January,Latin America,Colombia,Furniture,Desks,Home Office,5,550.34,2751.7,1742.67,1009.03,36.67
ORD-19378,2022-01-11,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Smartphones,Home Office,5,783.08,3915.4,2981.41,933.99,23.85
ORD-12590,2022-01-11,2022,Q1,1,January,Latin America,Chile,Office Supplies,Paper & Notebooks,Corporate,10,64.42,644.2,381.93,262.27,40.71
ORD-17056,2022-01-11,2022,Q1,1,January,North America,Canada,Office Supplies,Binders & Files,Corporate,8,52.85,422.8,237.1,185.7,43.92
ORD-10893,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Paper & Notebooks,Consumer,1,71.61,71.61,35.87,35.74,49.91
ORD-11833,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Binders & Files,Home Office,9,25.68,231.12,121.65,109.47,47.37
ORD-11162,2022-01-11,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Corporate,5,881.61,4408.05,3625.6,782.45,17.75
ORD-11144,2022-01-11,2022,Q1,1,January,Europe,Italy,Office Supplies,Paper & Notebooks,Home Office,1,23.5,23.5,12.84,10.66,45.36
ORD-11368,2022-01-11,2022,Q1,1,January,Latin America,Argentina,Electronics,Headphones,Home Office,5,280.02,1400.1,1124.69,275.41,19.67
ORD-10812,2022-01-12,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Jackets,Consumer,10,383.17,3831.7,1866.3,1965.4,51.29
ORD-16969,2022-01-12,2022,Q1,1,January,North America,United States,Electronics,Monitors,Home Office,2,493.61,987.22,755.14,232.08,23.51
ORD-19873,2022-01-12,2022,Q1,1,January,Latin America,Chile,Electronics,Smartphones,Corporate,5,1022.09,5110.45,3995.43,1115.02,21.82
ORD-19495,2022-01-12,2022,Q1,1,January,North America,Canada,Electronics,Laptops,Home Office,4,1848.09,7392.36,6132.85,1259.51,17.04
ORD-16330,2022-01-12,2022,Q1,1,January,Latin America,Colombia,Clothing,Shirts,Consumer,4,102.35,409.4,196.99,212.41,51.88
ORD-11311,2022-01-12,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Office Chairs,Home Office,6,499.53,2997.18,2069.64,927.54,30.95
ORD-12865,2022-01-13,2022,Q1,1,January,Asia Pacific,China,Clothing,Accessories,Home Office,3,87.93,263.79,122.04,141.75,53.74
ORD-17742,2022-01-13,2022,Q1,1,January,Latin America,Chile,Electronics,Smartphones,Corporate,10,1109.69,11096.9,9139.51,1957.39,17.64
ORD-12108,2022-01-13,2022,Q1,1,January,Europe,United Kingdom,Clothing,Pants,Consumer,10,55.84,558.4,238.68,319.72,57.26
ORD-12293,2022-01-13,2022,Q1,1,January,Latin America,Brazil,Furniture,Bookcases,Consumer,6,233.21,1399.26,948.96,450.3,32.18
ORD-12171,2022-01-13,2022,Q1,1,January,Latin America,Colombia,Furniture,Bookcases,Consumer,9,408.87,3679.83,2456.67,1223.16,33.24
ORD-10139,2022-01-13,2022,Q1,1,January,Europe,United Kingdom,Clothing,Shirts,Home Office,1,47.02,47.02,23.08,23.94,50.91
ORD-16603,2022-01-13,2022,Q1,1,January,Latin America,Chile,Office Supplies,Printer Supplies,Corporate,9,34.24,308.16,159.13,149.03,48.36
ORD-12983,2022-01-13,2022,Q1,1,January,Europe,Spain,Furniture,Storage,Home Office,1,257.58,257.58,157.46,100.12,38.87
ORD-18603,2022-01-13,2022,Q1,1,January,Latin America,Colombia,Clothing,Jackets,Consumer,6,81.72,490.32,226.99,263.33,53.71
ORD-17254,2022-01-13,2022,Q1,1,January,Europe,Spain,Clothing,Jackets,Consumer,2,267.01,534.02,256.69,277.33,51.93
ORD-15014,2022-01-13,2022,Q1,1,January,Latin America,Colombia,Electronics,Headphones,Consumer,7,70.74,495.18,410.37,84.81,17.13
ORD-16524,2022-01-13,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Paper & Notebooks,Corporate,10,44.09,440.9,256.1,184.8,41.91
ORD-10479,2022-01-14,2022,Q1,1,January,Europe,Spain,Furniture,Desks,Consumer,5,277.09,1385.45,940.51,444.94,32.12
ORD-17997,2022-01-14,2022,Q1,1,January,North America,United States,Electronics,Laptops,Home Office,1,1157.51,1157.51,849.41,308.1,26.62
ORD-10229,2022-01-14,2022,Q1,1,January,Asia Pacific,India,Furniture,Storage,Home Office,6,321.2,1927.2,1290.85,636.35,33.02
ORD-18491,2022-01-14,2022,Q1,1,January,North America,Canada,Office Supplies,Paper & Notebooks,Home Office,1,61.73,61.73,35.63,26.1,42.28
ORD-17504,2022-01-14,2022,Q1,1,January,North America,Mexico,Furniture,Desks,Consumer,7,364.1,2548.7,1709.59,839.11,32.92
ORD-14860,2022-01-14,2022,Q1,1,January,North America,Mexico,Electronics,Headphones,Corporate,10,187.28,1872.8,1390.93,481.87,25.73
ORD-14059,2022-01-14,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Binders & Files,Home Office,8,33.9,271.2,160.79,110.41,40.71
ORD-11203,2022-01-14,2022,Q1,1,January,Latin America,Argentina,Electronics,Laptops,Home Office,10,800.06,8000.6,5936.53,2064.07,25.8
ORD-13178,2022-01-15,2022,Q1,1,January,North America,Canada,Furniture,Office Chairs,Home Office,5,542.34,2711.7,1853.46,858.24,31.65
ORD-16116,2022-01-15,2022,Q1,1,January,Asia Pacific,India,Furniture,Storage,Home Office,2,273.48,546.96,340.33,206.63,37.78
ORD-13936,2022-01-15,2022,Q1,1,January,Latin America,Brazil,Clothing,Accessories,Corporate,9,46.87,421.83,187.65,234.18,55.52
ORD-15109,2022-01-15,2022,Q1,1,January,Europe,Spain,Furniture,Office Chairs,Home Office,7,298.45,2089.15,1353.1,736.05,35.23
ORD-13514,2022-01-15,2022,Q1,1,January,Latin America,Argentina,Furniture,Desks,Home Office,6,465.96,2795.76,1729.66,1066.1,38.13
ORD-11041,2022-01-15,2022,Q1,1,January,Europe,France,Furniture,Storage,Consumer,5,206.51,1032.55,685.15,347.4,33.64
ORD-19546,2022-01-15,2022,Q1,1,January,North America,United States,Clothing,Jackets,Home Office,1,262.19,262.19,127.24,134.95,51.47
ORD-12429,2022-01-15,2022,Q1,1,January,Europe,France,Electronics,Monitors,Home Office,6,419.8,2518.8,1973.35,545.45,21.66
ORD-17818,2022-01-15,2022,Q1,1,January,Asia Pacific,Japan,Electronics,Monitors,Consumer,10,387.72,3877.2,2918.46,958.74,24.73
ORD-17814,2022-01-15,2022,Q1,1,January,Europe,Spain,Office Supplies,Pens & Pencils,Home Office,3,9.34,28.02,14.02,14.0,49.96
ORD-16262,2022-01-15,2022,Q1,1,January,Asia Pacific,China,Furniture,Office Chairs,Home Office,2,459.61,919.22,559.8,359.42,39.1
ORD-12634,2022-01-15,2022,Q1,1,January,Asia Pacific,India,Electronics,Smartphones,Home Office,8,1176.46,9411.68,7013.99,2397.69,25.48
ORD-16292,2022-01-16,2022,Q1,1,January,Asia Pacific,China,Clothing,Jackets,Consumer,8,302.91,2423.28,1108.83,1314.45,54.24
ORD-10647,2022-01-16,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Printer Supplies,Consumer,10,140.45,1404.5,791.16,613.34,43.67
ORD-17312,2022-01-16,2022,Q1,1,January,North America,United States,Furniture,Desks,Consumer,4,503.78,2015.12,1277.22,737.9,36.62
ORD-18101,2022-01-16,2022,Q1,1,January,Asia Pacific,Australia,Electronics,Smartphones,Corporate,1,717.81,717.81,537.41,180.4,25.13
ORD-16556,2022-01-16,2022,Q1,1,January,North America,Mexico,Clothing,Jackets,Home Office,8,166.9,1335.2,659.84,675.36,50.58
ORD-11893,2022-01-16,2022,Q1,1,January,Europe,France,Electronics,Monitors,Consumer,2,694.6,1389.2,1024.35,364.85,26.26
ORD-16610,2022-01-16,2022,Q1,1,January,Europe,Germany,Clothing,Pants,Home Office,5,155.81,779.05,373.95,405.1,52.0
ORD-11722,2022-01-16,2022,Q1,1,January,Europe,France,Clothing,Shirts,Consumer,6,88.43,530.58,257.43,273.15,51.48
ORD-14159,2022-01-16,2022,Q1,1,January,North America,Canada,Furniture,Storage,Consumer,10,133.44,1334.4,803.06,531.34,39.82
ORD-16726,2022-01-16,2022,Q1,1,January,Europe,Italy,Electronics,Laptops,Corporate,5,997.48,4987.4,4133.33,854.07,17.12
ORD-16867,2022-01-16,2022,Q1,1,January,North America,Canada,Clothing,Pants,Consumer,3,187.1,561.3,243.41,317.89,56.63
ORD-11742,2022-01-16,2022,Q1,1,January,Asia Pacific,India,Electronics,Smartphones,Consumer,10,1074.42,10744.2,8358.44,2385.76,22.21
ORD-14102,2022-01-16,2022,Q1,1,January,North America,Canada,Furniture,Desks,Home Office,8,1119.85,8958.8,5914.62,3044.18,33.98
ORD-16238,2022-01-17,2022,Q1,1,January,North America,United States,Furniture,Desks,Consumer,9,308.94,2780.46,1705.98,1074.48,38.64
ORD-15216,2022-01-17,2022,Q1,1,January,Asia Pacific,Singapore,Electronics,Laptops,Consumer,9,2267.11,20403.99,15891.73,4512.26,22.11
ORD-11912,2022-01-17,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Home Office,3,163.96,491.88,334.28,157.6,32.04
ORD-10641,2022-01-17,2022,Q1,1,January,Latin America,Argentina,Office Supplies,Paper & Notebooks,Consumer,9,35.85,322.65,162.36,160.29,49.68
ORD-11047,2022-01-17,2022,Q1,1,January,Latin America,Chile,Office Supplies,Binders & Files,Consumer,7,36.87,258.09,148.46,109.63,42.48
ORD-15209,2022-01-17,2022,Q1,1,January,North America,United States,Clothing,Accessories,Home Office,8,21.25,170.0,68.35,101.65,59.79
ORD-18008,2022-01-17,2022,Q1,1,January,Europe,United Kingdom,Furniture,Storage,Home Office,3,334.53,1003.59,602.61,400.98,39.95
ORD-18734,2022-01-17,2022,Q1,1,January,Latin America,Chile,Electronics,Monitors,Consumer,1,224.08,224.08,168.13,55.95,24.97
ORD-13891,2022-01-17,2022,Q1,1,January,Europe,Italy,Office Supplies,Printer Supplies,Corporate,1,68.56,68.56,38.97,29.59,43.16
ORD-13818,2022-01-17,2022,Q1,1,January,Europe,France,Electronics,Smartphones,Corporate,7,635.16,4446.12,3496.89,949.23,21.35
ORD-19920,2022-01-17,2022,Q1,1,January,Asia Pacific,Australia,Furniture,Office Chairs,Home Office,9,574.13,5167.17,3394.74,1772.43,34.3
ORD-16014,2022-01-18,2022,Q1,1,January,North America,United States,Office Supplies,Paper & Notebooks,Corporate,2,35.36,70.72,38.94,31.78,44.94
ORD-10512,2022-01-18,2022,Q1,1,January,North America,Mexico,Furniture,Storage,Corporate,6,265.92,1595.52,1059.17,536.35,33.62
ORD-19982,2022-01-18,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Binders & Files,Home Office,3,49.64,148.92,82.68,66.24,44.48
ORD-12503,2022-01-18,2022,Q1,1,January,North America,Mexico,Furniture,Bookcases,Corporate,7,391.73,2742.11,1873.41,868.7,31.68
ORD-13968,2022-01-18,2022,Q1,1,January,Europe,Germany,Clothing,Shirts,Home Office,4,122.13,488.52,221.85,266.67,54.59
ORD-17702,2022-01-18,2022,Q1,1,January,Asia Pacific,Singapore,Furniture,Office Chairs,Home Office,3,663.83,1991.49,1390.6,600.89,30.17
ORD-18574,2022-01-18,2022,Q1,1,January,Latin America,Chile,Electronics,Tablets,Consumer,4,863.05,3452.2,2576.51,875.69,25.37
ORD-13488,2022-01-18,2022,Q1,1,January,Asia Pacific,China,Office Supplies,Pens & Pencils,Corporate,9,33.79,304.11,156.02,148.09,48.7
ORD-16446,2022-01-18,2022,Q1,1,January,Latin America,Chile,Furniture,Bookcases,Home Office,6,268.77,1612.62,1096.17,516.45,32.03
ORD-14519,2022-01-18,2022,Q1,1,January,Asia Pacific,Japan,Office Supplies,Printer Supplies,Corporate,7,36.97,258.79,154.59,104.2,40.26
ORD-19773,2022-01-19,2022,Q1,1,January,Asia Pacific,China,Clothing,Accessories,Home Office,10,83.91,839.1,389.8,449.3,53.55
ORD-16837,2022-01-19,2022,Q1,1,January,Asia Pacific,China,Electronics,Laptops,Corporate,8,1068.95,8551.6,6622.57,1929.03,22.56
ORD-19595,2022-01-19,2022,Q1,1,January,Asia Pacific,Australia,Office Supplies,Printer Supplies,Corporate,6,30.02,180.12,92.89,87.23,48.43
ORD-12643,2022-01-19,2022,Q1,1,January,Latin America,Colombia,Office Supplies,Paper & Notebooks,Consumer,5,32.98,164.9,87.56,77.34,46.9
ORD-17994,2022-01-19,2022,Q1,1,January,North America,Canada,Office Supplies,Paper & Notebooks,Corporate,8,16.67,133.36,75.37,57.99,43.48
ORD-19908,2022-01-19,2022,Q1,1,January,Europe,Spain,Electronics,Headphones,Corporate,5,376.86,1884.3,1521.69,362.61,19.24
ORD-10257,2022-01-19,2022,Q1,1,January,Europe,Italy,Clothing,Jackets,Home Office,10,99.34,993.4,406.03,587.37,59.13
ORD-19004,2022-01-19,2022,Q1,1,January,North America,Mexico,Electronics,Smartphones,Consumer,5,806.82,4034.1,2959.31,1074.79,26.64
ORD-12010,2022-01-19,2022,Q1,1,January,Latin America,Argentina,Furniture,Office Chairs,Corporate,5,263.69,1318.45,899.05,419.4,31.81
ORD-18551,2022-01-19,2022,Q1,1,January,North America,Canada,Furniture,Office Chairs,Home Office,7,184.34,1290.38,869.33,421.05,32.63
ORD-18838,2022-01-20,2022,Q1,1,January,Europe,Spain,Clothing,Shirts,Corporate,3,124.98,374.94,163.38,211.56,56.43
ORD-10296,2022-01-20,2022,Q1,1,January,Latin America,Argentina,Furniture,Storage,Corporate,9,388.43,3495.87,2218.8,1277.07,36.53
ORD-11406,2022-01-20,2022,Q1,1,January,Latin America,Brazil,Clothing,Pants,Consumer,10,134.23,1342.3,569.73,772.57,57.56
ORD-18904,2022-01-20,2022,Q1,1,January,Asia Pacific,Australia,Clothing,Shirts,Consumer,6,116.19,697.14,291.12,406.02,58.24
ORD-18878,2022-01-20,2022,Q1,1,January,Latin America,Colombia,Furniture,Office Chairs,Home Office,5,244.7,1223.5,793.02,430.48,35.18
ORD-10337,2022-01-20,2022,Q1,1,January,Asia Pacific,Japan,Clothing,Jackets,Corporate,9,113.26,1019.34,409.46,609.88,59.83
ORD-10262,2022-01-20,2022,Q1,1,January,Europe,Germany,Clothing,Accessories,Consumer,6,69.82,418.92,185.76,233.16,55.66
